obsid,uid,ra,dec,snrg,gaia_source_id,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,M_G,d,R,Z,Teff,logg,[Fe/H],source
392002178,G16192117614528,102.96164,10.738115,156.69,3159072141266435072,0.2615158454961133,11.841317,14.083677,0.2520504,1.1711670416003876,3.823860072811008,8.883683272678427,-3.704096236370658,10869.0,3.922374,-0.62804,Candidates
392002199,G16192130855975,102.48642,10.720343,102.09,3350863356116136064,0.1938645398285751,7.522468,14.530844,0.44116688,0.9683358931209938,5.1582409082354665,7.754898181733763,-5.080327815914458,9250.5,3.391993,-0.818161,Vickers et al. (2021)
392003070,G16200709162201,102.91019,11.946402,141.32,3351470492690482176,0.2795320534310883,10.131959,14.352349,0.21454048,1.5845070741728655,3.577407269490564,7.730246407163293,-2.622406745337331,10218.3,3.989718,-0.82794,Candidates
392003116,G16201642721674,103.20519,12.406859,123.99,3351512484588334464,0.1414964443698516,4.420626,14.598731,0.41267395,,,,,9252.7,3.779591,-0.668363,Candidates
392004061,G16200934243042,104.28378,11.681788,171.51,3159251297240550144,0.2310899724426835,5.8368015,14.113158,0.3972988,0.9320635039577853,4.327318876841472,10.840378286668834,1.121466922995205,11822.2,4.117737,-0.615581,Candidates
392004185,G16201036100826,104.06807,11.634355,208.63,3159247070992825344,0.2442525213173588,12.010043,13.96017,0.30208683,0.8993652772777843,4.094123551341744,10.627824391014643,0.2122119852093295,9279.0,3.317983,-0.975355,Candidates
392005164,G16192777943409,104.14527,11.046323,77.65,3159147595252360064,0.0893694093556159,2.238251,15.519987,0.15921593,,,,,11987.5,3.97516,-0.230245,Candidates
392005218,G16193046322253,103.50397,10.69285,107.62,3159046788079417216,0.2955824473586008,10.418831,14.599081,0.29227066,1.9524742033900253,3.383150822845713,10.160504932430182,-2.5726745651998786,9621.7,3.665215,-0.60513,Candidates
392006031,G16202335336191,105.92603,11.779356,147.25,3160565862173176192,0.214081408916155,7.9549785,14.216283,0.10865116,0.8691777714162754,4.671120229742368,7.468259228923557,4.598841473033744,10730.5,3.943188,-0.713552,Candidates
392009030,G16202386334920,105.28101,12.530144,60.15,3160902798065366784,0.1523309947518763,3.960944,15.460425,0.03888893,,,,,11469.8,4.195598,-0.521335,Candidates
392009139,G16202492059968,105.52899,12.20505,140.22,3160827378440093184,0.2362069744672951,9.4198885,14.146557,0.13266182,1.013020584252466,4.23357524584211,8.165154454364744,4.233077983604586,10444.7,3.89501,-0.440194,New
392010001,G16200854880765,102.43846,11.681742,76.51,3351366215182524672,0.3062628475014388,12.314992,14.5972185,0.34011173,2.027690080445794,3.265169145256191,8.011706664594062,-3.188879052100624,10083.3,3.686519,-0.415725,Vickers et al. (2021)
392010061,L16192063919082,102.44929,11.441715,105.88,3351325632034892544,0.2351038190759101,9.618069,14.42938,0.23429394,1.285678419765965,4.2534400501470415,8.16862747242886,-4.223783002695519,11726.8,3.655261,-0.236521,New
392010071,G16192069574757,102.43888,11.183611,137.13,3351266468862323072,0.3932077082342015,18.280602,13.977521,0.35581207,1.950631114604736,2.543185138691081,8.197616728449178,-2.543121083713827,9643.9,3.56073,-0.377583,Vickers et al. (2021)
392010084,G16192084310890,102.21895,11.347767,99.31,3351331236966625920,0.2514627410969561,9.729363,14.57728,0.2511778,1.5796482265876008,3.976732281043702,8.270125339882064,-3.9453194381755616,11906.8,4.548951,-0.433299,Vickers et al. (2021)
392010219,G16192253487748,102.75523,11.234896,90.92,3351270110995089920,0.1541333172505936,5.304299,14.6853075,0.25330925,0.624790126886019,6.487889950322527,8.814306817781214,-6.2111295396611705,10304.3,3.338759,-0.06959,New
392010249,G16200738044603,102.65427,11.847726,96.7,3351375079994781568,0.2130246771180654,9.664172,14.3049755,0.2846079,0.9471250785888968,4.694291823504404,7.693625882548631,-4.163984065833552,10549.8,4.005077,-0.56267,Candidates
392013009,G16201858592484,106.58154,12.456278,122.05,3161036938484362240,0.1863958523222748,8.073764,14.240174,0.21781921,0.5923552210557439,5.364926244555161,5.848284480313381,2.6723604023264174,8733.9,4.002862,-0.487665,Candidates
392014015,G16201555307647,102.4039,12.766617,85.6,3351762692204591744,0.1885532467989227,7.475787,14.473221,0.43289852,0.850391075771725,5.303541662512032,5.087883308124679,-4.145710542594694,10117.1,3.185823,-0.763697,New
